code,name,level,parent_code,longitude,latitude
KEN,Kenya,country,,,
MUR,Murang'a,region,KEN,,
MUR-KGM,Kangema,district,MUR,,
MUR-KGM-1,Kanyenya-Ini,ward,MUR-KGM,36.8310083074592,-0.688195566271188
MUR-KGM-2,Muguru,ward,MUR-KGM,37.0173744796211,-0.681346361456655
MUR-KGM-3,Rwathia,ward,MUR-KGM,36.816347936783,-0.644609189484078
MUR-MTH,Mathioya,district,MUR,,
MUR-MTH-1,Gitugi,ward,MUR-MTH,36.9987205894056,-0.64871762961358
MUR-MTH-2,Kiru,ward,MUR-MTH,36.836436645181,-0.601430031697929
MUR-MTH-3,Kamacharia,ward,MUR-MTH,37.0078273925972,-0.597018903898476
MUR-KHR,Kiharu,district,MUR,,
MUR-KHR-1,Wangu,ward,MUR-KHR,37.0244563787382,-0.712415632969935
MUR-KHR-2,Mugoiri,ward,MUR-KHR,37.0332725406062,-0.752083446145796
MUR-KHR-3,Mbiri,ward,MUR-KHR,37.188780432324,-0.72701489850109
MUR-KHR-4,Township,ward,MUR-KHR,37.1493927908304,-0.71867522670343
MUR-KHR-5,Murarandia,ward,MUR-KHR,36.9242561223635,-0.726891706215255
MUR-KHR-6,Gaturi,ward,MUR-KHR,37.1177954418073,-0.657105130434095
MUR-KGO,Kigumo,district,MUR,,
MUR-KGO-1,Kahumbu,ward,MUR-KGO,37.0826301396079,-0.854065408569042
MUR-KGO-2,Muthithi,ward,MUR-KGO,37.085267291746,-0.830379999767175
MUR-KGO-3,Kigumo,ward,MUR-KGO,36.9877490037129,-0.804580428062608
MUR-KGO-4,Kangari,ward,MUR-KGO,36.8329887639742,-0.770611778380058
MUR-KGO-5,Kinyona,ward,MUR-KGO,36.8637063731171,-0.743026681521683
MUR-MRG,Maragwa,district,MUR,,
MUR-MRG-1,Kimorori/Wempa,ward,MUR-MRG,37.1663802973358,-0.943232391132408
MUR-MRG-2,Makuyu,ward,MUR-MRG,37.2408688138463,-0.907917529714505
